Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"Journal. American Public Health Association","J Am Public Health Assoc","0273-1975","2330-9695","American Public Health Association","14840500R","v.1(12);Dec 1911","v.1;1911","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/488/
"Journal of the American Society of Nephrology : JASN","J Am Soc Nephrol","1046-6673","1533-3450","American Society of Nephrology","9013836","v.28(5);May 2017","v.19;2008","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/612/
"Journal of Amino Acids","J Amino Acids","2090-0104","2090-0112","Hindawi Publishing Corporation","101568074","v.2017;2017","v.2010;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1711/
"Journal of Anaesthesiology, Clinical Pharmacology","J Anaesthesiol Clin Pharmacol","0970-9185","2231-2730","Medknow Publications","9516972","v.33(1);Jan-Mar 2017","v.26;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1510/
"Journal of Analytical Methods in Chemistry","J Anal Methods Chem","2090-8865","2090-8873","Hindawi Publishing Corporation","101575377","v.2017;2017","v.2012;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1759/
"Journal of Analytical Toxicology","J Anal Toxicol","0146-4760","1945-2403","Oxford University Press","7705085","v.41(5);Jun 2017","v.36;2012","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Anal+Toxicol%22%5Bjournal%5D
"Journal of Anatomy","J Anat","0021-8782","1469-7580","Anatomical Society of Great Britain and Ireland","0137162","v.230(6);Jun 2017","v.51;1916","24 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/265/
"Journal of Anatomy and Physiology","J Anat Physiol","","","Anatomical Society of Great Britain and Ireland","7900125","v.50(Pt 4);Jul 1916","v.1;1867","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/270/
"Journal of Angiogenesis Research","J Angiogenes Res","","2040-2384","BioMed Central","101517302","v.2;2010","v.1;2009","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/991/
"Journal of Animal Science and Biotechnology","J Anim Sci Biotechnol","1674-9782","2049-1891","BioMed Central","101581293","v.8;2017","v.3;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1872/
"Journal of Animal Science and Technology","J Anim Sci Technol","","2055-0391","BioMed Central","101661694","v.59;2017","v.56;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2769/
"Journal of Antimicrobial Chemotherapy","J Antimicrob Chemother","0305-7453","1460-2091","Oxford University Press","7513617","v.72(6);Jun 2017","v.59;2007","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Antimicrob+Chemother%22%5Bjournal%5D
"Journal of Applied Behavior Analysis","J Appl Behav Anal","0021-8855","1938-3703","Society for the Experimental Analysis of Behavior","0174763","v.45(4);Winter 2012","v.1;1968","","No"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/309/
"Journal of Applied Crystallography","J Appl Crystallogr","0021-8898","1600-5767","International Union of Crystallography","9876190","v.50(Pt 2);Apr 1, 2017","v.37;2004","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Appl+Crystallogr%22%5Bjournal%5D
"Journal of Applied Mechanics","J Appl Mech","0021-8936","1528-9036","American Society of Mechanical Engineers","101629389","v.84(4);Apr 2017","v.79;2012","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Appl+Mech%22%5Bjournal%5D
"Journal of Applied Oral Science","J Appl Oral Sci","1678-7757","1678-7765","Bauru School of Dentistry","101189774","v.25(2);Mar-Apr 2017","v.14;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2245/
"Journal of Applied Physics","J Appl Phys","0021-8979","1089-7550","American Institute of Physics","2985119R","v.121(17);May 7, 2017","v.103;2008","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Appl+Phys%22%5Bjournal%5D
"Journal of Applied Physiology","J Appl Physiol (1985)","8750-7587","1522-1601","American Physiological Society","8502536","v.122(4);Apr 1, 2017","v.105;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Appl+Physiol+(1985)%22%5Bjournal%5D
"Journal of Arrhythmia","J Arrhythm","1880-4276","1883-2148","Japanese Heart Rhythm Society","101263026","v.33(2);Apr 2017","v.31;2015","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2797/
"Journal of Arthropod-Borne Diseases","J Arthropod Borne Dis","2322-1984","2322-2271","Tehran University of Medical Sciences","101593448","v.10(4);Dec 2016","v.6;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1967/
"Journal of Assisted Reproduction and Genetics","J Assist Reprod Genet","1058-0468","1573-7330","Springer Science+Business Media, LLC","9206495","v.34(5);May 2017","v.14;1997","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/595/
"JARO: Journal of the Association for Research in Otolaryngology","J Assoc Res Otolaryngol","1525-3961","1438-7573","Association for Research in Otolaryngology","100892857","v.18(3);Jun 2017","v.1;2000","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/635/
"Journal of Asthma and Allergy","J Asthma Allergy","","1178-6965","Dove Press","101543450","v.10;2017","v.1;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1443/
"Journal of Atherosclerosis and Thrombosis","J Atheroscler Thromb","1340-3478","1880-3873","Japan Atherosclerosis Society","9506298","v.24(5);May 1, 2017","v.23;2016","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3110/
"Journal of Athletic Training","J Athl Train","1062-6050","1938-162X","National Athletic Trainers Association","9301647","v.52(4);Apr 2017","v.27;1992","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/131/
"Journal of Atrial Fibrillation","J Atr Fibrillation","","1941-6911","CardioFront, LLC","101514767","v.9(3);Oct-Nov 2016","v.1;2008","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2930/
"Journal of Audiology &#x0026; Otology","J Audiol Otol","2384-1621","2384-1710","Korean Audiological Society","101657815","v.21(1);Apr 2017","v.19;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2765/
"Journal of Autoimmune Diseases","J Autoimmune Dis","","1740-2557","BioMed Central","101232235","v.6;2009","v.1;2004","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/285/
"Journal of Automated Methods and Management in Chemistry","J Autom Methods Manag Chem","1463-9246","1464-5068","Hindawi Publishing Corporation","100885454","v.2011;2011","v.21;1999","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/474/
"The Journal of Automatic Chemistry","J Automat Chem","0142-0453","","Hindawi Publishing Corporation","8209386","v.20(6);1998","v.1;1978","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/665/
"Journal of Ayurveda and Integrative Medicine","J Ayurveda Integr Med","0975-9476","0976-2809","Elsevier","101551404","v.8(1);Jan-Mar 2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1513/
"Journal of Bacteriology","J Bacteriol","0021-9193","1098-5530","American Society for Microbiology (ASM)","2985120R","v.199(11);Jun 1, 2017","v.1;1916","6 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/88/
"Journal of Basic and Clinical Pharmacy","J Basic Clin Pharm","0976-0105","0976-0113","Medknow Publications","101599515","v.8(1);December 2016-February 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2108/
"Journal of Behavioral Addictions","J Behav Addict","2062-5871","2063-5303","Akad&#x00e9;miai Kiad&#x00f3;","101602037","v.5(4);Dec 1, 2016","v.2;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2524/
"Journal of Biochemistry","J Biochem","0021-924X","1756-2651","Oxford University Press","0376600","v.161(5);May 2017","v.143;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Biochem%22%5Bjournal%5D
"Journal of Biology","J Biol","1478-5854","1475-4924","BioMed Central","101147570","v.9(3);2010","v.1;2002","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/104/
"The Journal of Biological Chemistry","J Biol Chem","0021-9258","1083-351X","American Society for Biochemistry and Molecular Biology","2985121R","v.292(21);May 26, 2017","v.280;2005","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/567/
"Journal of Biological Engineering","J Biol Eng","","1754-1611","BioMed Central","101306640","v.11;2017","v.1;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/565/
"Journal of Biological Physics","J Biol Phys","0092-0606","1573-0689","Springer Science+Business Media B.V.","0417731","v.43(1);Mar 2017","v.23;1997","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/596/
"Journal of Biological Research","J Biol Res (Thessalon)","1790-045X","2241-5793","BioMed Central","101248115","v.24;Dec 2017","v.21;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2707/
"Journal of Biomarkers","J Biomark","2090-8660","2090-7699","Hindawi Publishing Corporation","101628831","v.2017;2017","v.2013;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2737/
"Journal of Biomechanical Engineering","J Biomech Eng","0148-0731","1528-8951","American Society of Mechanical Engineers","7909584","v.139(4);Apr 2017","v.133;2011","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Biomech+Eng%22%5Bjournal%5D
"Journal of Biomedicine and Biotechnology","J Biomed Biotechnol","1110-7243","1110-7251","Hindawi Publishing Corporation","101135740","v.2012;2012","v.1;2001","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/94/
"Journal of Biomedical Discovery and Collaboration","J Biomed Discov Collab","","1747-5333","University of Illinois at Chicago Library","101258054","v.7;2016","v.1;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/405/
"Journal of Biomedical Optics","J Biomed Opt","1083-3668","1560-2281","Society of Photo-Optical Instrumentation Engineers","9605853","v.22(9);Sep 2017","v.14;2009","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Biomed+Opt%22%5Bjournal%5D
"Journal of Biomedical Physics &#x0026; Engineering","J Biomed Phys Eng","","2251-7200","Shiraz University Medical School","101589641","v.7(1);Mar 2017","v.3;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2572/
"Journal of Biomedical Research","J Biomed Res","1674-8301","2352-4685","Nanjing Medical University Press","101551157","v.31(1);Jan 2017","v.24;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1958/
"Journal of Biomedical Science","J Biomed Sci","1021-7770","1423-0127","BioMed Central","9421567","v.24;2017","v.16;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/857/
"Journal of Biomedical Semantics","J Biomed Semantics","","2041-1480","BioMed Central","101531992","v.8;2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1267/
"Journal of Biomolecular Techniques : JBT","J Biomol Tech","1524-0215","1943-4731","The Association of Biomolecular Resource Facilities","100888641","v.28(1);Apr 2017","v.10;1999","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/540/
"Journal of Biophysics","J Biophys","1687-8000","1687-8019","Hindawi Publishing Corporation","101519205","v.2017;2017","v.2008;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1122/
"The Journal of Biophysical and Biochemical Cytology","J Biophys Biochem Cytol","0095-9901","","The Rockefeller University Press","17840020R","v.11(3);Dec 1, 1961","v.1;1955","6 months","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/572/
"Journal of Blood Medicine","J Blood Med","","1179-2736","Dove Press","101550884","v.8;2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1698/
"Journal of Blood Transfusion","J Blood Transfus","2090-9187","2090-9195","Hindawi Publishing Corporation","101613231","v.2016;2016","v.2012;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2187/
"The Journal of Bone and Joint Surgery. American volume","J Bone Joint Surg Am","0021-9355","1535-1386","Journal of Bone and Joint Surgery, Inc.","0014030","v.99(8);Apr 19, 2017","v.90;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Bone+Joint+Surg+Am%22%5Bjournal%5D
"Journal of Bone and Joint Infection","J Bone Jt Infect","","2206-3552","Ivyspring International Publisher","101701849","v.2(3);2017","v.1;2016","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3193/
"Journal of Bone Metabolism","J Bone Metab","2287-6375","2287-7029","Korean Society for Bone and Mineral Research","101599927","v.24(1);Feb 2017","v.19;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2212/
"Journal of Bone and Mineral Research","J Bone Miner Res","0884-0431","1523-4681","American Society for Bone and Mineral Research","8610640","v.26(11);Nov 2011","v.23;2008","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Bone+Miner+Res%22%5Bjournal%5D
"Journal of Bone Oncology","J Bone Oncol","2212-1366","2212-1374","Elsevier","101610292","v.7;Jun 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2843/
"Journal of the Boston Society of Medical Sciences","J Boston Soc Med Sci","","","American Society for Investigative Pathology","15720160R","v.5(11);May 21, 1901","v.1;1896","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/377/
"Journal of Brachial Plexus and Peripheral Nerve Injury","J Brachial Plex Peripher Nerve Inj","","1749-7221","Thieme Medical Publishers","101265114","v.11(1);2016","v.1;2006","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/447/
"Journal of Brain Disease","J Brain Dis","","1179-0636","Libertas Academica","101605450","v.1;2009","v.1;2009","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2119/
"Jornal Brasileiro de Pneumologia","J Bras Pneumol","1806-3713","1806-3756","Sociedade Brasileira de Pneumologia e Tisiologia (Brazilian Thoracic Society)","101222274","v.42(6);Nov-Dec 2016","v.39;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2395/
"Journal of Breast Cancer","J Breast Cancer","1738-6756","2092-9900","Korean Breast Cancer Society","101314183","v.20(1);Mar 2017","v.14;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1573/
"The Journal of Breast Health","J Breast Health (2013)","","2149-1976","Turkish Federation of Breast Diseases Societies","101699515","v.13(2);Apr 2017","v.10;2014","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3175/
"Journal of Burns and Wounds","J Burns Wounds","","1554-0766","Open Science Co.","101280410","v.7;2007","v.4;2005","1 month","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/211/
"Journal of Cachexia, Sarcopenia and Muscle","J Cachexia Sarcopenia Muscle","2190-5991","2190-6009","Wiley-Blackwell","101552883","v.8(2);Apr 2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1721/
"Journal of Caffeine Research","J Caffeine Res","2156-5783","2156-5368","Mary Ann Liebert, Inc.","101565685","v.6(4);Dec 1, 2016","v.1;2011","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Caffeine+Res%22%5Bjournal%5D
"Journal of the Canadian Academy of Child and Adolescent Psychiatry","J Can Acad Child Adolesc Psychiatry","1719-8429","","Canadian Academy of Child and Adolescent Psychiatry","101280868","v.26(1);Winter 2017","v.15;2006","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/577/
"The Journal of the Canadian Chiropractic Association","J Can Chiropr Assoc","0008-3194","1715-6181","The Canadian Chiropractic Association","7507184","v.61(1);Mar 2017","v.22;1978","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/293/
"Journal of Cancer","J Cancer","","1837-9664","Ivyspring International Publisher","101535920","v.8(6);2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1305/
"Journal of Cancer Epidemiology","J Cancer Epidemiol","1687-8558","1687-8566","Hindawi Publishing Corporation","101519967","v.2017;2017","v.2008;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1217/
"Journal of Cancer Prevention","J Cancer Prev","2288-3649","2288-3657","Korean Society of Cancer Prevention","101615965","v.22(1);Mar 2017","v.18;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2560/
"Journal of Carcinogenesis","J Carcinog","","1477-3163","Medknow Publications","101153623","v.15;2016","v.1;2002","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/138/
"Journal of Cardiothoracic Surgery","J Cardiothorac Surg","","1749-8090","BioMed Central","101265113","v.12;2017","v.1;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/406/
"Journal of Cardiovascular Disease Research","J Cardiovasc Dis Res","0975-3583","0976-2833","Elsevier","101536738","v.4(4);Dec 2013","v.1;2010","","Some"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1310/
"Journal of Cardiovascular Echography","J Cardiovasc Ecogr","2211-4122","2347-193X","Wolters Kluwer - Medknow","101562228","v.27(2);Apr-Jun 2017","v.23;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3138/
"Journal of Cardiovascular Magnetic Resonance","J Cardiovasc Magn Reson","1097-6647","1532-429X","BioMed Central","9815616","v.19;2017","v.10;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/574/
"Journal of Cardiovascular and Thoracic Research","J Cardiovasc Thorac Res","2008-5117","2008-6830","Tabriz University of Medical Sciences","101528712","v.9(1);2017","v.3;2011","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2184/
"Journal of Cardiovascular Ultrasound","J Cardiovasc Ultrasound","1975-4612","2005-9655","Korean Society of Echocardiography","101477138","v.25(1);Mar 2017","v.17;2009","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1236/
"Journal of Caring Sciences","J Caring Sci","","2251-9920","Tabriz University of Medical Sciences","101589637","v.6(1);Mar 2017","v.1;2012","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2538/
"The Journal of Cell Biology","J Cell Biol","0021-9525","1540-8140","The Rockefeller University Press","0375356","v.216(5);May 1, 2017","v.12;1962","6 months","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/482/
"Journal of Cell Communication and Signaling","J Cell Commun Signal","1873-9601","1873-961X","The International CCN Society","101308338","v.11(1);Mar 2017","v.1;2007","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/536/
"Journal of Cell Death","J Cell Death","","1179-0660","SAGE Publications","101534028","v.10;2017","v.2;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2554/
"Journal of Cellular and Molecular Medicine","J Cell Mol Med","1582-1838","1582-4934","Blackwell Publishing","101083777","v.21(6);Jun 2017","v.10;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2233/
"Journal of Cell Science","J Cell Sci","0021-9533","1477-9137","Company of Biologists","0052457","v.130(8);Apr 15, 2017","v.122;2009","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Cell+Sci%22%5Bjournal%5D
"Journal of Central Nervous System Disease","J Cent Nerv Syst Dis","","1179-5735","SAGE Publications","101595026","v.9;2017","v.2;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2055/
"Journal of Cerebral Blood Flow &#x0026; Metabolism","J Cereb Blood Flow Metab","0271-678X","1559-7016","SAGE Publications","8112566","v.37(5);May 2017","v.30;2010","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1259/
"Journal of Cerebrovascular and Endovascular Neurosurgery","J Cerebrovasc Endovasc Neurosurg","2234-8565","2287-3139","Korean Society of Cerebrovascular Surgeons","101589154","v.19(1);Mar 2017","v.14;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1921/
"Journal of Chemical Biology","J Chem Biol","1864-6158","1864-6166","Springer-Verlag","101318662","v.10(2);Apr 2017","v.1;2008","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/841/
"The Journal of Chemical Physics","J Chem Phys","0021-9606","1089-7690","American Institute of Physics","0375360","v.146(15);Apr 21, 2017","v.128;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Chem+Phys%22%5Bjournal%5D
"Journal of Cheminformatics","J Cheminform","","1758-2946","Springer","101516718","v.9;2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1180/
"Journal of Child and Adolescent Psychopharmacology","J Child Adolesc Psychopharmacol","1044-5463","1557-8992","Mary Ann Liebert, Inc.","9105358","v.27(4);May 1, 2017","v.18;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Child+Adolesc+Psychopharmacol%22%5Bjournal%5D
"Journal of Children's Orthopaedics","J Child Orthop","1863-2521","1863-2548","EPOS","101313582","v.11(2);Apr 2017","v.1;2007","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/842/
"The Journal of Chiropractic Education","J Chiropr Educ","1042-5055","2374-250X","Association of Chiropractic Colleges","8915779","v.31(1);Mar 2017","v.20;2006","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/604/
"Journal of Chiropractic Humanities","J Chiropr Humanit","","1556-3499","National University of Health Sciences","100890625","v.23(1);Dec 2016","v.16;2009","6 months","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1728/
"Journal of Chiropractic Medicine","J Chiropr Med","1556-3707","1556-3715","National University of Health Sciences","101163637","v.16(2);Jun 2017","v.1;2002","6 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/663/
"Journal of Chromatographic Science","J Chromatogr Sci","0021-9665","1945-239X","Oxford University Press","0173225","v.55(2);Feb 2017","v.50;2012","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Chromatogr+Sci%22%5Bjournal%5D
"Journal of Circadian Rhythms","J Circadian Rhythms","","1740-3391","Ubiquity Press","101200389","v.14;2016","v.1;2003","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/225/
"The Journal of Clinical and Aesthetic Dermatology","J Clin Aesthet Dermatol","1941-2789","","Matrix Medical Communications","101518173","v.10(4);Apr 2017","v.1;2008","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1294/
"Journal of Clinical Biochemistry and Nutrition","J Clin Biochem Nutr","0912-0009","1880-5086","The Society for Free Radical Research Japan","8700907","v.60(2);Mar 2017","v.40;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/548/
"Journal of Clinical Bioinformatics","J Clin Bioinforma","","2043-9113","BioMed Central","101554637","v.5;2015","v.1;2011","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1571/
"Journal of Clinical and Diagnostic Research : JCDR","J Clin Diagn Res","2249-782X","0973-709X","JCDR Research &#x0026; Publications Private Limited","101488993","v.11(4);Apr 2017","v.6;2012","2 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1866/
"The Journal of Clinical Endocrinology and Metabolism","J Clin Endocrinol Metab","0021-972X","1945-7197","The Endocrine Society","0375362","v.102(2);Feb 1, 2017","v.93;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22J+Clin+Endocrinol+Metab%22%5Bjournal%5D
"Journal of Clinical and Experimental Dentistry","J Clin Exp Dent","","1989-5488","Medicina Oral S.L","101603132","v.9(5);May 2017","v.4;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2157/
"Journal of Clinical and Experimental Hepatology","J Clin Exp Hepatol","0973-6883","2213-3453","Elsevier","101574137","v.7(1);Mar 2017","v.1;2011","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2306/
"Journal of Clinical Imaging Science","J Clin Imaging Sci","2156-7514","2156-5597","Medknow Publications","101564708","v.7;2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1584/
"The Journal of Clinical Investigation","J Clin Invest","0021-9738","1558-8238","American Society for Clinical Investigation","7802877","v.127(5);May 1, 2017","v.1;1924","3 months or more","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/120/
"Journal of Clinical Medicine","J Clin Med","","2077-0383","Multidisciplinary Digital Publishing Institute  (MDPI)","101606588","v.6(4);Apr 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2745/
"Journal of Clinical Medicine Research","J Clin Med Res","1918-3003","1918-3011","Elmer Press","101538301","v.9(6);Jun 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1471/
"Journal of Clinical Microbiology","J Clin Microbiol","0095-1137","1098-660X","American Society for Microbiology (ASM)","7505564","v.55(5);May 2017","v.1;1975","6 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/81/
"Journal of Clinical Movement Disorders","J Clin Mov Disord","","2054-7072","BioMed Central","101662043","v.4;2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2872/
"Journal of Clinical Neonatology","J Clin Neonatol","2249-4847","1658-6093","Medknow Publications","101605525","v.3(2);Apr-Jun 2014","v.1;2012","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/2109/
"Journal of Clinical Neurology (Seoul, Korea)","J Clin Neurol","1738-6586","2005-5013","Korean Neurological Association","101252374","v.13(2);Apr 2017","v.1;2005","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/905/
